system:index,date,rainfall,system:band_names,system:bands,.geo,dry_day,CDD,rai,SPI
1_20230101,2023-01-01,0.00107802047373524,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,1,-0.7731540237563198,NA
1_20230102,2023-01-02,0,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2,-0.7733991501487816,NA
1_20230103,2023-01-03,0.00335241326162902,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,3,-0.7726368594605382,-3.013776571729767
1_20230104,2023-01-04,0,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,4,-0.7733991501487816,-3.095039201086998
1_20230105,2023-01-05,0.21664308885775263,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,5,-0.7241376192991171,-2.0578293856929184
1_20230106,2023-01-06,0.28282324222591493,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,6,-0.7090892017199076,-1.7208341770268023
1_20230107,2023-01-07,0,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,7,-0.7733991501487816,-1.8554291686842665
1_20230108,2023-01-08,3.963889692177128e-4,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,8,-0.7733090169830363,-2.036043662508237
1_20230109,2023-01-09,0.0168212490532466,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,9,-0.7695742394002533,-2.7570018369365696
1_20230110,2023-01-10,0.01637260341752326,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,10,-0.7696762549823856,-2.6681886619341046
1_20230111,2023-01-11,0.01822324449514165,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,11,-0.7692554457471709,-2.668680304305174
1_20230112,2023-01-12,0.051644091068405,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,12,-0.7616560246293724,-2.7606285409231024
1_20230113,2023-01-13,0.04239138458901314,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,13,-0.7637599573607633,-2.2348748734165387
1_20230114,2023-01-14,0.00438345371149438,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,14,-0.7724024156516168,-2.1525514212074626
1_20230115,2023-01-15,0.17535850248694548,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,15,-0.7335251420483727,-1.819074007967949
1_20230116,2023-01-16,6.81983610597915e-4,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,16,-0.7732440768581931,-1.8884176511034032
1_20230117,2023-01-17,0.03829921096423598,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,17,-0.7646904589443679,-2.068523083725674
1_20230118,2023-01-18,0.0491004583051584,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,18,-0.7622344102335361,-2.4446780507746255
1_20230119,2023-01-19,0.00740140778227095,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,19,-0.7717161761858472,-2.5795050251690887
1_20230120,2023-01-20,0.3186989853777752,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,20,-0.7009315723334913,-1.9096548120562296
1_20230121,2023-01-21,0.4795642418626402,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,21,-0.6643531204809536,-1.3454203260788355
1_20230122,2023-01-22,0.7878602826738732,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,22,-0.5942510230389078,-1.0482294217172188
1_20230123,2023-01-23,1.1073833942408764,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0,-0.5215960507495601,-0.8353232509481308
1_20230124,2023-01-24,2.0065513762059166,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",0,0,-0.3171381494329621,-0.4903797616205924
1_20230125,2023-01-25,0.2852400410351922,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,1,-0.7085396563375539,-0.515216852598009
1_20230126,2023-01-26,0.31837715253419946,NA,NA,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2,-0.7010047525057084,-0.6422679311551363
